01-01-2019;00-01;162.28
01-01-2019;01-02;196.74
01-01-2019;02-03;194.29
01-01-2019;03-04;183.86
01-01-2019;04-05;184.16
01-01-2019;05-06;134.06
01-01-2019;06-07;75.78
01-01-2019;07-08;132.5
01-01-2019;08-09;147.09
01-01-2019;09-10;154.31
01-01-2019;10-11;184.31
01-01-2019;11-12;191.16
01-01-2019;12-13;123.27
01-01-2019;13-14;98.33
01-01-2019;14-15;68.11
01-01-2019;15-16;98.93
01-01-2019;16-17;201.21
01-01-2019;17-18;204.19
01-01-2019;18-19;203.14
01-01-2019;19-20;200.69
01-01-2019;20-21;198.75
01-01-2019;21-22;197.04
01-01-2019;22-23;194.21
01-01-2019;23-00;185.2
02-01-2019;00-01;134.88
02-01-2019;01-02;111.58
02-01-2019;02-03;132.43
02-01-2019;03-04;182.45
02-01-2019;04-05;88.06
02-01-2019;05-06;108.31
02-01-2019;06-07;168.08
02-01-2019;07-08;312.05
02-01-2019;08-09;356.94
02-01-2019;09-10;283.02
02-01-2019;10-11;260.83
02-01-2019;11-12;262.17
02-01-2019;12-13;257.26
02-01-2019;13-14;253.84
02-01-2019;14-15;267.83
02-01-2019;15-16;283.24
02-01-2019;16-17;310.19
02-01-2019;17-18;315.55
02-01-2019;18-19;335.42
02-01-2019;19-20;305.8
02-01-2019;20-21;260.09
02-01-2019;21-22;189.52
02-01-2019;22-23;158.56
02-01-2019;23-00;141.21
03-01-2019;00-01;134.81
03-01-2019;01-02;10.27
03-01-2019;02-03;0.15
03-01-2019;03-04;-44.59
03-01-2019;04-05;-68.56
03-01-2019;05-06;-34.54
03-01-2019;06-07;73.69
03-01-2019;07-08;200.76
03-01-2019;08-09;205.23
03-01-2019;09-10;206.34
03-01-2019;10-11;208.35
03-01-2019;11-12;212.3
03-01-2019;12-13;217.58
03-01-2019;13-14;219.52
03-01-2019;14-15;222.27
03-01-2019;15-16;227.11
03-01-2019;16-17;230.39
03-01-2019;17-18;232.84
03-01-2019;18-19;229.12
03-01-2019;19-20;224.43
03-01-2019;20-21;218.62
03-01-2019;21-22;215.35
03-01-2019;22-23;209.39
03-01-2019;23-00;203.29
04-01-2019;00-01;201.36
04-01-2019;01-02;199.35
04-01-2019;02-03;197.04
04-01-2019;03-04;197.19
04-01-2019;04-05;198.01
04-01-2019;05-06;128.86
04-01-2019;06-07;148.58
04-01-2019;07-08;250.04
04-01-2019;08-09;301.11
04-01-2019;09-10;312.42
04-01-2019;10-11;279.52
04-01-2019;11-12;268.13
04-01-2019;12-13;264.49
04-01-2019;13-14;262.77
04-01-2019;14-15;266.72
04-01-2019;15-16;312.95
04-01-2019;16-17;316.59
04-01-2019;17-18;382.84
04-01-2019;18-19;371.9
04-01-2019;19-20;347.86
04-01-2019;20-21;309.45
04-01-2019;21-22;276.1
04-01-2019;22-23;241.86
04-01-2019;23-00;208.8
05-01-2019;00-01;44.37
05-01-2019;01-02;-7
05-01-2019;02-03;197.29
05-01-2019;03-04;197.29
05-01-2019;04-05;200.12
05-01-2019;05-06;205.93
05-01-2019;06-07;185.98
05-01-2019;07-08;226.63
05-01-2019;08-09;269.51
05-01-2019;09-10;270.25
05-01-2019;10-11;289.98
05-01-2019;11-12;293.33
05-01-2019;12-13;310.38
05-01-2019;13-14;315.74
05-01-2019;14-15;315.52
05-01-2019;15-16;350.66
05-01-2019;16-17;355.65
05-01-2019;17-18;419.53
05-01-2019;18-19;427.49
05-01-2019;19-20;401.43
05-01-2019;20-21;315.37
05-01-2019;21-22;297.06
05-01-2019;22-23;267.87
05-01-2019;23-00;262.36
06-01-2019;00-01;219.28
06-01-2019;01-02;212.58
06-01-2019;02-03;209.83
06-01-2019;03-04;208.49
06-01-2019;04-05;201.64
06-01-2019;05-06;213.7
06-01-2019;06-07;223.38
06-01-2019;07-08;233.51
06-01-2019;08-09;254.58
06-01-2019;09-10;306.11
06-01-2019;10-11;321.37
06-01-2019;11-12;321.44
06-01-2019;12-13;321.22
06-01-2019;13-14;297.54
06-01-2019;14-15;268.35
06-01-2019;15-16;259.94
06-01-2019;16-17;301.71
06-01-2019;17-18;326.95
06-01-2019;18-19;326.66
06-01-2019;19-20;261.28
06-01-2019;20-21;231.27
06-01-2019;21-22;228.74
06-01-2019;22-23;223.23
06-01-2019;23-00;216.16
07-01-2019;00-01;162.87
07-01-2019;01-02;119
07-01-2019;02-03;119.08
07-01-2019;03-04;194.81
07-01-2019;04-05;198.09
07-01-2019;05-06;202.11
07-01-2019;06-07;204.27
07-01-2019;07-08;206.21
07-01-2019;08-09;207.99
07-01-2019;09-10;210.97
07-01-2019;10-11;214.4
07-01-2019;11-12;215.59
07-01-2019;12-13;215.67
07-01-2019;13-14;210.53
07-01-2019;14-15;210.68
07-01-2019;15-16;199.21
07-01-2019;16-17;202.63
07-01-2019;17-18;229.96
07-01-2019;18-19;255.73
07-01-2019;19-20;240.76
07-01-2019;20-21;223.11
07-01-2019;21-22;215.52
07-01-2019;22-23;221.1
07-01-2019;23-00;201.14
08-01-2019;00-01;140.82
08-01-2019;01-02;112.82
08-01-2019;02-03;178.13
08-01-2019;03-04;189.75
08-01-2019;04-05;171.95
08-01-2019;05-06;127.34
08-01-2019;06-07;223.63
08-01-2019;07-08;319.7
08-01-2019;08-09;334.74
08-01-2019;09-10;317.02
08-01-2019;10-11;312.63
08-01-2019;11-12;309.35
